"PC1" "PC2" "PC3" "PC4" "pop" "ecotype" "sex" "size" "genotype"
"149" -0.00395593245989616 -0.00995777441683107 -0.000896476848678423 0.00617186086603482 "NOT" "summer_run" "M" 1.00015450082851 "summer_run"
"150" 0.00739915487009845 0.0122821631177839 0.000585196750282321 0.00432388798417052 "NOT" "fall_run" "F" 1.00018704614014 "fall_run"
"151" -0.00225454259928874 -0.00047728614239818 -0.00253534542061712 0.000338036462574682 "NOT" "fall_run" "M" 1.00009904702306 "fall_run"
"152" -0.00565703424192452 -6.9547973875313e-05 -0.00335205035501883 -0.00252448410859581 "NOT" "fall_run" "M" 1.0000763984678 "fall_run"
"153" 0.000172108676638865 -0.00504159974903043 -0.00745362251526233 0.00188956257126767 "NOT" "summer_run" "M" 1.00015195926785 "summer_run"
"154" -0.00655762820250606 0.0156543215859693 -0.00407470510285719 0.000544032070740591 "NOT" "fall_run" "F" 1.00021483666936 "fall_run"
"155" -0.0053340880409867 -0.00174763488990131 0.00507297026768109 0.00447723810561292 "NOT" "fall_run" "F" 1.00010154789876 "fall_run"
"156" -0.00337361590632644 -0.00117016729942558 0.000450742915106971 0.0110846251135963 "NOT" "fall_run" "M" 1.0002193057903 "fall_run"
"157" 0.00152270783907443 0.00475393996440927 -0.00787997802342858 0.00331396448450386 "NOT" "fall_run" "M" 1.00016181581142 "fall_run"
"158" -0.000457416750015206 0.00705961918017813 5.77205257908877e-05 -0.00281942294494836 "NOT" "fall_run" "F" 1.00011682739939 "fall_run"
"159" 0.00564767566616148 -0.00319136713559491 -0.00701282759962704 0.0090891565566514 "NOT" "fall_run" "F" 1.00020891925283 "fall_run"
"160" -0.00215668776138796 -0.0100310897038449 -0.0124678916097544 -0.00504670118551638 "NOT" "fall_run" "M" 1.0001941203199 "fall_run"
"161" 0.00163691083058858 0.00303528668532722 0.00759221636269842 0.00155329241785634 "NOT" "fall_run" "M" 1.00015472540513 "fall_run"
"162" 0.00319821961980665 -0.0049167478358926 0.00312263072157316 0.0019260696161079 "NOT" "fall_run" "M" 1.00008660618037 "fall_run"
"163" -0.0122711299217117 0.00435428758057855 0.00715874845033612 -0.000434550330909577 "NOT" "fall_run" "M" 1.00017650758035 "fall_run"
"164" 0.00384356457860797 -0.00572693777416949 -0.00275423777142666 -0.0021111226045409 "NOT" "fall_run" "M" 1.00009645043953 "fall_run"
