sample_id,FISHES_id,long_tot,long_fourche,mass,sex,egg_dvpment,pop,ecotype,true_eco,genotype,STL,MXL,MDL,POL,OOL,PSL,TTL,DOL,LUL,ANL,CPL,CPD,PCL,PVL,BDD,HDD,AMO,HEA,lower_gill_raker,upper_gill_raker,middle_gill_raker_length,data.sample_id,pc1_geomorph,true_age,confiance,X1_um,X2_um,X3_um,X4_um,X5_um,X6_um,X7_um,X8_um,X9_um,infered_age
NOT_53EARLY,coarNOTs_7553-21,420,381,717,F,3,NOT_summer,summer_run,summer_run,NOT_summer,35.35,2.3,3.29,1.63,1.37,4.43,11.48,4.41,9.21,3.51,3.04,4.49,4.92,4.19,8.5,3.25,64.28,5.03,29,13,66,NOT_53EARLY,-0.012228081,6,1,864.1698,1113.1024,1322.184,1477.1045,1537.5614,1636.7725,1707.5803,NA,NA,6
NOT_54EARLY,coarNOTs_7554-21,391,354,540,F,3,NOT_summer,summer_run,summer_run,NOT_summer,32.13,2.12,3.2,1.53,1.39,4.15,9.83,3.88,8.4,3.19,2.55,4.13,4.75,3.74,7.49,3.03,62.64,4.58,26,16,62,NOT_54EARLY,-0.006529861,5,1,773.626,1082.9311,1302.1544,1430.4108,1507.2324,1631.3044,NA,NA,NA,5
NOT_55EARLY,coarNOTs_7555-21,401,369,540,M,3,NOT_summer,summer_run,summer_run,NOT_summer,33.64,2,3.16,1.38,1.61,4.11,10.15,4.15,8.39,3.6,2.66,4.23,4.79,4.23,6.8,3.11,58.23,4.85,25,15,65,NOT_55EARLY,-0.006510529,6,1,807.7723,1077.9143,1224.4396,1418.6632,1516.0123,1604.8574,1708.0121,NA,NA,6
NOT_56EARLY,coarNOTs_7556-21,375,345,511,M,3,NOT_summer,summer_run,summer_run,NOT_summer,31.96,1.87,2.94,1.44,1.35,3.52,10.15,3.55,8.22,3.26,2.54,4.63,4.62,3.95,6.96,2.97,66.44,4.61,27,17,61,NOT_56EARLY,-0.018219351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
NOT_57EARLY,coarNOTs_7557-21,392,364,512,M,3,NOT_summer,summer_run,summer_run,NOT_summer,30.58,1.73,2.94,1.29,1.18,3.77,10,3.89,7.55,3.32,2.38,3.87,4.26,4.09,7.14,2.81,65.93,4.6,25,16,56,NOT_57EARLY,-0.00778882,5,1,810.0488,1184.5204,1456.8676,1558.669,1664.9074,1767.2068,NA,NA,NA,5
NOT_58EARLY,coarNOTs_7558-21,374,341,459,M,3,NOT_summer,summer_run,summer_run,NOT_summer,30.54,2.01,3.11,1.6,1.17,3.92,9.83,3.42,7.43,3.47,2.27,4.2,4.61,4.05,7.03,2.97,48.57,4.53,28,17,56,NOT_58EARLY,-0.010727484,7,2,944.0274,1269.4954,1390.897,1483.5453,1567.5264,1622.5589,1672.9887,1719.1671,NA,7
NOT_59EARLY,coarNOTs_7559-21,397,361,563,F,3,NOT_summer,summer_run,summer_run,NOT_summer,32.96,1.91,3.03,1.63,1.33,3.73,10.42,4.23,8.17,3.13,2.61,4.35,4.65,4.06,7.66,3.09,57.87,4.82,26,14,57,NOT_59EARLY,-0.010480899,6,1,785.0514,1135.5363,1309.957,1483.5135,1555.6561,1624.8488,1685.3572,NA,NA,6
NOT_60EARLY,coarNOTs_7560-21,381,350,597,F,3,NOT_summer,summer_run,summer_run,NOT_summer,33.08,2.37,3.31,1.97,1.44,3.9,10.13,3.57,9.11,3.12,2.58,4.37,4.49,4,7.92,3.02,45.58,5.5,26,15,45,NOT_60EARLY,0.002527624,4,2,758.1391,1293.6739,1443.3372,1586.7207,1663.9659,NA,NA,NA,NA,4
NOT_61EARLY,coarNOTs_7561-21,372,342,465,M,3,NOT_summer,summer_run,summer_run,NOT_summer,31.65,1.79,3.06,1.34,1.2,3.73,10.6,3.39,7.99,3.27,2.49,4.04,4.48,4.3,7.33,3.12,62.77,4.79,25,15,55,NOT_61EARLY,-0.013756012,4,1,732.3403,1065.6427,1308.245,1476.8791,1642.4156,NA,NA,NA,NA,4
NOT_62EARLY,coarNOTs_7562-21,402,371,644,M,3,NOT_summer,summer_run,summer_run,NOT_summer,33.79,2.23,3.34,1.46,1.43,4.13,10.62,4.19,8.17,3.52,2.69,4.55,5.21,4.39,7.9,3.11,68.22,4.61,26,15,60,NOT_62EARLY,-0.008759483,5,2,1038.6171,1431.2738,1667.636,1793.9011,1909.523,2001.9603,NA,NA,NA,5
NOT_63EARLY,coarNOTs_7563-21,417,384,774,M,3,NOT_summer,summer_run,summer_run,NOT_summer,35.5,2.24,3.33,1.48,1.44,4.59,11.4,3.96,9.1,3.71,2.89,5.1,4.53,4.36,8.59,3.51,51.41,5.51,27,16,66,NOT_63EARLY,-0.004598841,5,2,763.3738,1112.4263,1399.5436,1519.1136,1660.6735,1825.9006,NA,NA,NA,5
NOT_64EARLY,coarNOTs_7564-21,345,315,366,F,3,NOT_summer,summer_run,summer_run,NOT_summer,26.91,1.7,2.64,1.28,1.29,3.28,8.48,3.44,7.54,2.93,2.39,3.99,3.96,3.54,6.28,2.54,54,4.48,28,16,62,NOT_64EARLY,0.014155356,5,1,466.0498,842.3367,1010.5273,1046.1574,1139.7746,1234.8757,NA,NA,NA,5
NOT_65EARLY,coarNOTs_7565-21,395,362,596,M,3,NOT_summer,summer_run,summer_run,NOT_summer,33.17,2.09,3.35,1.45,1.55,4.15,10.83,3.34,8.34,3.21,2.69,4.78,4.18,3.85,7.38,3.16,68.82,4.74,26,15,51,NOT_65EARLY,-0.008533308,5,2,847.0238,1266.4971,1457.4232,1564.0612,1617.351,1671.8722,NA,NA,NA,5
NOT_66EARLY,coarNOTs_7566-21,401,362,596,M,3,NOT_summer,summer_run,summer_run,NOT_summer,33.2,2.29,3.24,1.61,1.25,3.99,10.65,4.32,8.87,3.33,2.81,4.2,5.05,4.37,7.95,3.33,46.8,4.91,25,16,62,NOT_66EARLY,-0.004340415,6,1,734.9972,1192.7529,1405.3334,1595.7549,1694.5043,1777.4014,1837.9317,NA,NA,6
NOT_67EARLY,coarNOTs_7567-21,377,346,511,F,3,NOT_summer,summer_run,summer_run,NOT_summer,31.62,1.76,2.88,1.4,1.14,3.93,9.88,3.8,7.91,3.23,2.63,4.4,4.6,4.03,7.26,3.08,67.08,4.64,26,15,55,NOT_67EARLY,-0.005988938,5,1,839.5188,1253.531,1473.6114,1594.9486,1718.2857,1825.2482,NA,NA,NA,5
