sample_id,pop
coarNOTs_7538-21,NOT_summer
coarNOTs_7538-21,NOT_summer
coarNOTs_7538-21,NOT_summer
coarNOTs_7539-21,NOT_summer
coarNOTs_7540-21,NOT_summer
coarNOTs_7541-21,NOT_summer
coarNOTs_7542-21,NOT_summer
coarNOTs_7543-21,NOT_summer
coarNOTs_7544-21,NOT_summer
coarNOTs_7545-21,NOT_summer
coarNOTs_7546-21,NOT_summer
coarNOTs_7547-21,NOT_summer
coarNOTs_7548-21,NOT_summer
coarNOTs_7549-21,NOT_summer
coarNOTs_7550-21,NOT_summer
coarNOTs_7551-21,NOT_summer
coarNOTs_7552-21,NOT_summer
coarNOTs_7553-21,NOT_summer
coarNOTs_7554-21,NOT_summer
coarNOTs_7555-21,NOT_summer
coarNOTs_7556-21,NOT_summer
coarNOTs_7557-21,NOT_summer
coarNOTs_7558-21,NOT_summer
coarNOTs_7559-21,NOT_summer
coarNOTs_7560-21,NOT_summer
coarNOTs_7561-21,NOT_summer
coarNOTs_7562-21,NOT_summer
coarNOTs_7563-21,NOT_summer
coarNOTs_7564-21,NOT_summer
coarNOTs_7565-21,NOT_summer
coarNOTs_7566-21,NOT_summer
coarNOTs_7567-21,NOT_summer
coarNOTs_7568-21,NOT_summer
coarRUPs_7601-21,RUP
coarRUPs_7602-21,RUP
coarRUPs_7603-21,RUP
coarRUPs_7604-21,RUP
coarRUPs_7605-21,RUP
coarRUPs_7606-21,RUP
coarRUPs_7607-21,RUP
coarRUPs_7608-21,RUP
coarRUPs_7609-21,RUP
coarRUPs_7610-21,RUP
coarRUPs_7611-21,RUP
coarRUPs_7612-21,RUP
coarRUPs_7613-21,RUP
coarRUPs_7614-21,RUP
coarRUPs_7615-21,RUP
coarRUPs_7616-21,RUP
coarRUPs_7617-21,RUP
coarRUPs_7618-21,RUP
coarRUPs_7619-21,RUP
coarRUPs_7620-21,RUP
coarRUPs_7621-21,RUP
coarRUPs_7622-21,RUP
coarRUPs_7623-21,RUP
coarRUPs_7624-21,RUP
coarRUPs_7625-21,RUP
coarRUPs_7626-21,RUP
coarRUPs_7627-21,RUP
coarRUPs_7628-21,RUP
coarRUPs_7629-21,RUP
coarRUPs_7630-21,RUP
coarRUPs_7631-21,RUP
coarRUPs_7632-21,RUP
coarRUPs_7633-21,RUP
coarRUPs_7634-21,RUP
coarRUPs_7635-21,RUP
coarRUPs_7636-21,RUP
coarRUPs_7637-21,RUP
coarRUPs_7638-21,RUP
coarRUPs_7639-21,RUP
coarRUPs_7640-21,RUP
coarRUPs_7641-21,RUP
coarRUPs_7642-21,RUP
coarRUPs_7643-21,RUP
coarRUPs_7644-21,RUP
coarRUPs_7645-21,RUP
coarRUPs_7646-21,RUP
coarRUPs_7647-21,RUP
coarRUPs_7648-21,RUP
coarRUPs_7649-21,RUP
coarRUPs_7650-21,RUP
coarRUPs_7651-21,RUP
coarRUPs_7652-21,RUP
coarRUPs_7653-21,RUP
coarRUPs_7654-21,RUP
coarRUPs_7655-21,RUP
coarRUPs_7656-21,RUP
coarRUPs_7657-21,RUP
coarRUPs_7658-21,RUP
coarRUPs_7659-21,RUP
coarRUPs_7660-21,RUP
coarNOTs_7701-21,NOT_fall
coarNOTs_7702-21,NOT_fall
coarNOTs_7703-21,NOT_fall
coarNOTs_7704-21,NOT_fall
coarNOTs_7705-21,NOT_fall
coarNOTs_7706-21,NOT_fall
coarNOTs_7707-21,NOT_fall
coarNOTs_7708-21,NOT_fall
coarNOTs_7709-21,NOT_fall
coarNOTs_7710-21,NOT_fall
coarNOTs_7711-21,NOT_fall
coarNOTs_7712-21,NOT_fall
coarNOTs_7713-21,NOT_fall
coarNOTs_7714-21,NOT_fall
coarNOTs_7715-21,NOT_fall
coarNOTs_7716-21,NOT_fall
coarNOTs_7717-21,NOT_fall
coarNOTs_7718-21,NOT_fall
coarNOTs_7719-21,NOT_fall
coarNOTs_7720-21,NOT_fall
coarNOTs_7721-21,NOT_fall
coarNOTs_7722-21,NOT_fall
coarNOTs_7723-21,NOT_fall
coarNOTs_7724-21,NOT_fall
coarNOTs_7725-21,NOT_fall
