"sample_id" "FISHES_id" "long_tot" "long_fourche" "mass" "sex" "egg_dvpment" "pop" "ecotype" "true_eco" "genotype" "STL" "MXL" "MDL" "POL" "OOL" "PSL" "TTL" "DOL" "LUL" "ANL" "CPL" "CPD" "PCL" "PVL" "BDD" "HDD" "AMO" "HEA" "lower_gill_raker" "upper_gill_raker" "middle_gill_raker_length" "data.sample_id" "pc1_geomorph" "true_age" "confiance" "X1_um" "X2_um" "X3_um" "X4_um" "X5_um" "X6_um" "X7_um" "X8_um" "X9_um" "infered_age" "MXL_res" "MDL_res" "POL_res" "OOL_res" "PSL_res" "TTL_res" "DOL_res" "LUL_res" "ANL_res" "CPL_res" "CPD_res" "PCL_res" "PVL_res" "BDD_res" "HDD_res" "AMO_res" "HEA_res" "gill_raker_count"
"21" "NOT_21EARLY" "coarNOTs_7521-21" 467 427 1000 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 39.13 2.31 3.53 1.83 1.34 4.89 13.01 4.11 9.79 4.41 2.99 5.38 5.52 5.03 8.92 3.62 57.49 5.45 27 15 65 "NOT_21EARLY" -0.013564171 8 1 756.0417 1031.6146 1266.6842 1410.7944 1524.8782 1660.3025 1715.1342 1776.1582 1834.133 8 0.312879807548043 0.0713541787279825 1.33370080538018 -0.471793492844468 0.563900035832418 0.916080633362776 -2.03890200518223 0.161106023583609 0.865581380382718 -0.837294647344712 0.465520705784189 0.722780860573373 1.57584020519137 0.176835950276961 0.562599319862792 -0.83858391543712 -0.162842741367629 42
"22" "NOT_22EARLY" "coarNOTs_7522-21" 375 346 496 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 31.76 1.87 3.01 1.43 1.27 4.14 9.86 3.32 8.16 3.22 2.49 4.57 4.06 4.23 7.09 2.93 70.28 4.79 27 16 63 "NOT_22EARLY" -0.003415758 5 1 812.6973 1170.3077 1430.5513 1565.9509 1663.8497 1784.9548 NA NA NA 5 -0.818308039828842 -0.210427853444592 -0.130590308506056 -0.0321327789695851 1.50262312635926 -0.133187287249015 -1.56765476777829 0.674489273817281 -0.221652983463316 0.184306375158555 1.01854171279922 -1.31446856308345 0.982489156700172 -0.568729392006276 -0.553972152856265 1.30337848098233 0.764098987313501 43
"23" "NOT_23EARLY" "coarNOTs_7523-21" 429 386 752 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 36.1 1.98 2.94 1.25 1.27 4.07 11.78 4.44 8.97 3.65 2.71 5.34 4.42 4.52 8.11 3.18 72.29 4.02 26 16 52 "NOT_23EARLY" -0.004465243 7 2 747.1852 1039.2566 1315.096 1542.0157 1644.4966 1726.3764 1811.4883 1843.4634 NA 7 -0.940690402036716 -1.58782584959756 -2.14724125923842 -0.626697402489391 -1.01904993403281 1.20441899968106 0.936585839494906 0.438641502760028 -0.310303901207924 -0.521282454963397 2.11732725140623 -1.55289207522609 0.949524225796582 0.0796710518028657 -0.581237787776267 1.46975944264135 -4.44129279626418 42
"24" "NOT_24EARLY" "coarNOTs_7524-21" 425 392 879 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 36.27 1.99 3.12 1.59 1.19 4.22 12.4 4.39 9.16 4.08 2.83 4.93 5.17 3.85 8.89 3.25 60.81 5.33 28 16 57 "NOT_24EARLY" 0.000408 6 2 646.0827 884.0279 1097.4517 1350.1826 1489.3224 1613.1917 1735.596 NA NA 6 -1.00096135317656 -0.913002715143174 0.20143537388847 -1.60274485472496 -0.650060284552938 2.1647943289855 0.501537131572583 0.622095011062366 1.10814825694357 0.0509474047224211 0.333380069092383 0.789628754433631 -1.20265275283788 1.71500541809829 -0.380943380522118 -0.220177517392277 0.9608164758927 44
"25" "NOT_25EARLY" "coarNOTs_7525-21" 379 348 580 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 32.1 1.84 2.87 1.33 1.11 4.14 10.3 3.95 7.88 3.49 2.56 4.48 4.68 3.8 7.64 2.95 60.34 4.66 26 15 52 "NOT_25EARLY" 0.000103 4 1 559.2848 998.9054 1213.6644 1408.2921 1573.9476 NA NA NA NA 4 -1.0454074797035 -0.905974121477824 -0.882070583135206 -1.81324683761148 1.39352728420004 0.708569903476092 0.681240209000353 -0.350361479505955 0.737217830548192 0.605250815376689 0.600527147319883 0.710342259194326 -0.34308658408823 0.673528822763201 -0.508426450785593 -0.135635555421691 0.112535735804808 41
"26" "NOT_26EARLY" "coarNOTs_7526-21" 422 382 699 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 35.99 2.19 3.28 1.62 1.32 4.07 11.79 4.28 8.32 4.02 2.6 4.85 4.45 4.05 7.79 3.21 63.89 5.01 28 16 63 "NOT_26EARLY" -0.006563491 4 1 831.876 1213.1955 1438.1029 1530.381 1638.8512 NA NA NA NA 4 0.459337554101636 0.0933169351449402 0.595754969469593 -0.0150895249435125 -0.797229025028279 1.52783332625988 0.504896004172203 -1.34951841507112 1.31142498451113 -1.13506620019388 0.476671589042746 -1.30331095819038 -0.370560306949484 -0.518216018374429 -0.232688839509164 0.262055891608197 0.0392266054323075 44
"27" "NOT_27EARLY" "coarNOTs_7527-21" 405 373 688 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 35.4 2.12 3.47 1.69 1.41 4.22 11.47 4.29 8.55 3.85 2.76 4.62 5.38 3.81 7.88 3.33 54.31 5.16 24 15 59 "NOT_27EARLY" -0.013079582 5 1 673.3911 1023.3785 1244.5658 1407.3221 1529.7531 1600.3408 NA NA NA 5 0.200618296894716 1.20597369891725 1.25813250931013 1.10813464534044 0.398438019690133 1.47746961490154 0.913494434984651 0.017422377484224 1.04215397250613 0.653150682375115 0.0216539167976846 2.18701067226635 -0.883124735845263 0.115101554211626 0.877385032957098 -1.0950058891382 1.1068496538819 39
"28" "NOT_28EARLY" "coarNOTs_7528-21" 393 359 571 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 32.45 2.06 3.11 1.45 1.31 3.82 10.42 3.86 8.24 3.21 2.46 4.76 4.68 4.22 7.34 3.2 50.29 4.47 26 14 65 "NOT_28EARLY" -0.009538706 6 1 612.602 1028.8485 1184.9363 1303.5988 1381.5862 1453.6138 1555.8726 NA NA 6 0.105792744723208 -0.0896773863884724 -0.218302627507795 0.214653162372304 -0.693192375687294 0.154121123001605 -0.105425661211708 0.0175351449692021 -0.83144142555162 -0.829285241132716 1.15031798001598 0.31418159827824 0.659884035980973 -0.556847406292349 0.616918106959993 -1.62412284560736 -1.21693464782646 40
"29" "NOT_29EARLY" "coarNOTs_7529-21" 386 354 568 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 32.65 1.6 2.8 1.23 1.36 4.05 10.55 3.9 7.88 3.53 2.53 4.58 4.48 4.27 7.39 2.83 66.13 4.67 25 15 57 "NOT_29EARLY" -0.011727948 5 1 829.5955 1174.552 1370.4916 1497.2997 1612.8781 1714.3894 NA NA NA 5 -2.66301247301711 -1.38508650028674 -1.70583216515875 0.836010899099201 0.64846353698398 0.822663116285407 0.249081147891458 -0.770981825019774 0.629874547527268 0.013220422316337 0.706174095094268 -0.182699858133346 0.921573438366363 -0.20667177999705 -1.49524630882858 0.678891976052635 -0.123097087942314 40
"30" "NOT_30EARLY" "coarNOTs_7530-21" 366 336 502 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 30.99 1.92 3.07 1.47 1.28 3.72 9.84 3.6 8.27 3.18 2.77 4.01 4.55 3.41 7.57 3.03 66.26 4.69 26 16 55 "NOT_30EARLY" -1.82e-05 5 2 613.5698 829.8088 1145.6202 1362.4088 1563.1816 1622.3395 NA NA NA 5 -0.306737443146671 0.325426835162371 0.332766602200388 0.224399651481187 0.102657436556425 0.571309618995787 -0.119405841518566 1.72059309363422 0.0613544931541302 2.94560617304335 -0.601311058384146 0.702636183095259 -1.23177615098876 1.05038793666771 0.46444478256581 0.757643796283963 0.797762984178434 42
