n,Id,fishes_id,tot_length,fork_length,mass,Sex,egg_dev,Pop,date_capture,age,confiance,1_um,2_um,3_um,4_um,5_um,6_um,7_um,8_um,9_um
86,NOT_98_LATE,coarNOTs_7730-21,322,290,NA,F,5,NOT_fall,october,6,2,739.8634,995.0149,1306.4602,1451.5518,1553.9017,1653.8489,1738.5659,,
87,NOT_99_LATE,coarNOTs_7731-21,354,322,NA,F,4,NOT_fall,october,5,2,681.4646,936.5379,1164.4868,1314.0526,1501.359,1626.7944,,,
88,NOT_100_LATE,coarNOTs_7732-21,334,301,NA,M,4,NOT_fall,october,5,1,769.3511,1050.4867,1195.5784,1359.7675,1490.8393,1580.6089,,,
89,NOT_101_LATE,coarNOTs_7733-21,301,271,NA,M,4,NOT_fall,october,3,1,734.6763,1088.961,1392.9251,1569.0148,,,,,
90,NOT_102_LATE,coarNOTs_7734-21,312,280,NA,M,4,NOT_fall,october,4,1,801.0786,1210.5041,1405.1318,1589.8454,1686.4398,,,,
91,NOT_103_LATE,coarNOTs_7735-21,340,306,NA,M,4,NOT_fall,october,7,2,478.3066,667.7712,801.9092,966.7299,1100.7055,1183.0025,1250.2492,1306.9342,
92,NOT_104_LATE,coarNOTs_7736-21,300,271,NA,M,3,NOT_fall,october,3,1,630.8772,900.8568,1148.8501,1313.0466,,,,,
93,NOT_105_LATE,coarNOTs_7737-21,361,325,NA,F,4,NOT_fall,october,5,1,629.9952,913.9357,1138.4923,1326.9031,1445.0574,1537.1668,,,
94,NOT_106_LATE,coarNOTs_7738-21,340,307,NA,F,4,NOT_fall,october,5,2,660.0438,1044.8425,1262.3273,1360.4346,1459.8233,1477.2261,,,
95,NOT_107_LATE,coarNOTs_7739-21,330,298,NA,F,4,NOT_fall,october,5,1,830.1536,1179.8859,1353.4483,1473.129,1522.8546,1580.4832,,,
96,NOT_109_LATE,coarNOTs_7741-21,345,312,NA,F,4,NOT_fall,october,5,1,675.3779,1103.0114,1294.6874,1486.5819,1641.2569,1714.8578,,,
97,NOT_111_LATE,coarNOTs_7743-21,330,299,NA,M,3,NOT_fall,october,5,2,739.9557,1064.0281,1344.8834,1461.1887,1563.4576,1625.0363,,,
98,NOT_112_LATE,coarNOTs_7744-21,345,315,NA,F,5,NOT_fall,october,6,2,840.3868,1248.5154,1504.2968,1709.0376,1897.7881,2098.6947,2199.4103,,
99,NOT_113_LATE,coarNOTs_7745-21,383,354,NA,M,3,NOT_fall,october,5,1,685.6264,1014.4741,1325.58,1458.871,1557.4675,1640.9689,,,
100,NOT_114_LATE,coarNOTs_7746-21,380,345,NA,F,5,NOT_fall,october,7,1,671.5451,1132.5117,1453.435,1677.8293,1908.7539,2069.5912,2171.284,2240.0826,
101,NOT_115_LATE,coarNOTs_7747-21,354,317,NA,F,5,NOT_fall,october,5,2,861.814,1234.2165,1496.3486,1606.5077,1694.87,1745.7707,,,
102,NOT_116_LATE,coarNOTs_7748-21,354,320,NA,F,5,NOT_fall,october,5,1,750.1225,1129.6295,1373.9833,1544.8063,1703.5985,1783.5312,,,
103,NOT_117_LATE,coarNOTs_7750-21,330,295,NA,M,3,NOT_fall,october,4,1,861.1049,1117.6702,1424.4602,1548.4987,1589.2355,,,,
104,NOT_118_LATE,coarNOTs_7751-21,335,307,NA,F,5,NOT_fall,october,7,2,779.1127,1100.3724,1206.9618,1296.3627,1380.5042,1495.8064,1543.3569,1589.5353,
105,NOT_119_LATE,coarNOTs_7752-21,348,312,NA,F,5,NOT_fall,october,6,2,610.9728,907.7548,1073.3916,1245.5138,1341.8825,1407.7106,1493.2822,,
106,NOT_120_LATE,coarNOTs_7753-21,334,306,NA,M,5,NOT_fall,october,5,1,830.8943,1156.2061,1346.8549,1518.4642,1651.039,1727.8606,,,
107,NOT_121_LATE,coarNOTs_7756-21,322,290,NA,M,3,NOT_fall,october,5,1,726.9005,1130.864,1383.1951,1581.0075,1659.9272,1704.0209,,,
108,NOT_122_LATE,coarNOTs_7757-21,345,314,NA,M,3,NOT_fall,october,5,2,796.6312,1179.5107,1421.1952,1517.817,1596.0969,1651.0541,,,
109,RUP_1,coarRUPs_7601-21,335,306,350,F,4,RUP,october,5,3,,,,,,,,,
110,RUP_9,coarRUPs_7609-21,297,330,345,M,4,RUP,october,5,1,746.0572,1193.173,1394.7947,1533.7262,1659.953,1726.4551,,,
111,RUP_12,coarRUPs_7612-21,321,293,325,F,4,RUP,october,5,2,734.3242,1003.0413,1266.8738,1594.6236,1731.5981,1788.9433,,,
112,RUP_13,coarRUPs_7613-21,326,295,321,F,4,RUP,october,4,1,750.3779,1042.7552,1264.1347,1444.9497,1536.9914,,,,
113,RUP_14,coarRUPs_7614-21,346,315,400,F,4,RUP,october,5,1,812.1769,1168.3781,1390.3996,1594.6239,1748.9518,1827.6801,,,
114,RUP_18,coarRUPs_7618-21,321,293,333,M,4,RUP,october,4,1,787.3837,1160.7124,1348.3673,1495.7325,1625.3963,,,,
115,RUP_19,coarRUPs_7619-21,315,284,315,F,3,RUP,october,5,2,717.9008,1004.5171,1170.2477,1393.5631,1532.3078,1597.1357,,,
116,RUP_24,coarRUPs_7624-21,370,335,481,F,5,RUP,october,5,1,773.6851,1145.0445,1438.4044,1581.3781,1691.9766,1747.3894,,,
117,RUP_26,coarRUPs_7626-21,322,292,311,M,4,RUP,october,4,1,840.2115,1212.7087,1422.1472,1597.5819,1645.1325,,,,
118,RUP_30,coarRUPs_7630-21,361,325,439,M,4,RUP,october,5,1,786.2369,1097.6068,1373.7983,1514.3959,1645.6594,1759.2337,,,
119,RUP_35,coarRUPs_7635-21,327,295,329,M,4,RUP,october,6,2,687.6598,1132.7019,1422.7753,1556.443,1715.425,1809.2482,1911.9414,,
120,RUP_36,coarRUPs_7636-21,336,307,387,F,4,RUP,october,5,2,803.786,1208.3258,1517.4863,1642.2021,1739.5153,1809.1854,,,
121,RUP_37,coarRUPs_7637-21,337,304,370,F,4,RUP,october,4,1,725.5227,1158.6125,1376.9266,1518.4867,1682.4612,,,,
122,RUP_40,coarRUPs_7640-21,366,331,459,M,4,RUP,october,5,1,745.5525,1054.4526,1234.337,1467.0403,1640.4731,1696.8752,,,
123,RUP_43,coarRUPs_7643-21,335,300,319,M,4,RUP,october,5,1,823.1131,1170.1622,1358.2011,1585.7993,1770.9366,1879.9477,,,
