sample	GenotypeRate	Heterozygosity	conScore
166	coarCHIm.5028.21	0.90146750524109	0.00628930817610063	0
167	coarCHIm.5029.21	0.872117400419287	0.00838574423480084	0
168	coarCHIm.5030.21	0.872117400419287	0.00628930817610063	0.333333333333333
169	coarCHIm.5031.21	0.859538784067086	0.00628930817610063	0
170	coarCHIm.5032.21	0.893081761006289	0.00838574423480084	0
171	coarCHIm.5033.21	0.870020964360587	0.00838574423480084	0
172	coarCHIm.5034.21	0.863731656184486	0.010482180293501	0.2
173	coarCHIm.5035.21	0.870020964360587	0.00838574423480084	0
174	coarCHIm.5036.21	0.846960167714885	0.00209643605870021	0
175	coarCHIm.5037.21	0.861635220125786	0.00419287211740042	0
176	coarCHIm.5038.21	0.876310272536688	0.00628930817610063	0
177	coarCHIm.5039.21	0.888888888888889	0.010482180293501	0
178	coarCHIm.5040.21	0.90356394129979	0.00838574423480084	0
179	coarCHIm.5041.21	0.863731656184486	0.00628930817610063	0
180	coarCHIm.5042.21	0.870020964360587	0.010482180293501	0
181	coarCHIm.5043.21	0.893081761006289	0.00838574423480084	0
182	coarCHIm.5044.21	0.884696016771488	0.010482180293501	0
183	coarCHIm.5045.21	0.876310272536688	0.00838574423480084	0
184	coarCHIm.5046.21	0.884696016771488	0.00419287211740042	0
185	coarCHIm.5047.21	0.857442348008386	0.010482180293501	0
186	coarCHIm.5048.21	0.861635220125786	0.010482180293501	0
187	coarCHIm.5049.21	0.886792452830189	0.00628930817610063	0
188	coarCHIm.5050.21	0.880503144654088	0.00419287211740042	0
189	coarCHIm.5076.21	0.886792452830189	0.0146750524109015	0
190	coarCHIm.5077.21	0.90356394129979	0.00838574423480084	0
191	coarCHIm.5078.21	0.880503144654088	0.00628930817610063	0
192	coarCHIm.5079.21	0.886792452830189	0.00838574423480084	0
193	coarCHIm.5080.21	0.890985324947589	0.010482180293501	0
194	coarCHIm.5081.21	0.888888888888889	0.00628930817610063	0
195	coarCHIm.5082.21	0.870020964360587	0.00628930817610063	0
196	coarCHIm.5083.21	0.867924528301887	0.00838574423480084	0
197	coarCHIm.5084.21	0.886792452830189	0.00419287211740042	0
198	coarCHIm.5085.21	0.890985324947589	0.00628930817610063	0
