Sample	Total Reads	Off-target Reads	Primer Only Reads	Primer Probe Reads	Off-target Proportion	Primer Only Proportion	Primer Probe Proportion
coarCHIm-4979-21	37051	3008	9857	24186	0.08	0.27	0.65
coarCHIm-4980-21	28280	2742	8139	17399	0.10	0.29	0.62
coarCHIm-4981-21	25839	3070	8093	14676	0.12	0.31	0.57
coarCHIm-4982-21	25281	2653	7371	15257	0.10	0.29	0.60
coarCHIm-4983-21	30042	3038	8725	18279	0.10	0.29	0.61
coarCHIm-4984-21	21925	2058	6049	13818	0.09	0.28	0.63
coarCHIm-4985-21	20084	2340	5942	11802	0.12	0.30	0.59
coarCHIm-4986-21	21887	2411	6252	13224	0.11	0.29	0.60
coarCHIm-4987-21	28507	3463	9425	15619	0.12	0.33	0.55
coarCHIm-4988-21	20317	2144	6290	11883	0.11	0.31	0.58
coarCHIm-4989-21	23620	2779	7295	13546	0.12	0.31	0.57
coarCHIm-4990-21	44067	4412	14104	25551	0.10	0.32	0.58
coarCHIm-4991-21	21639	1879	5347	14413	0.09	0.25	0.67
coarCHIm-4992-21	23321	2578	7031	13712	0.11	0.30	0.59
coarCHIm-4993-21	24510	2470	7228	14812	0.10	0.29	0.60
coarCHIm-4994-21	23977	2592	7204	14181	0.11	0.30	0.59
coarCHIm-4995-21	23428	2531	6862	14035	0.11	0.29	0.60
coarCHIm-4996-21	20968	2556	6884	11528	0.12	0.33	0.55
coarCHIm-4997-21	19021	2028	5332	11661	0.11	0.28	0.61
coarCHIm-4998-21	23675	2001	6053	15621	0.08	0.26	0.66
coarCHIm-4999-21	21891	2612	6784	12495	0.12	0.31	0.57
coarCHIm-5000-21	15239	1820	4477	8942	0.12	0.29	0.59
coarCHIm-5026-21	25506	2950	8786	13770	0.12	0.34	0.54
coarCHIm-5027-21	27082	2915	8582	15585	0.11	0.32	0.58
coarCHIm-5028-21	32905	3059	10266	19580	0.09	0.31	0.60
coarCHIm-5029-21	23764	2783	7364	13617	0.12	0.31	0.57
coarCHIm-5030-21	24658	2760	7563	14335	0.11	0.31	0.58
coarCHIm-5031-21	20077	2453	6731	10893	0.12	0.34	0.54
coarCHIm-5032-21	38281	2811	9918	25552	0.07	0.26	0.67
coarCHIm-5033-21	21553	2459	6532	12562	0.11	0.30	0.58
coarCHIm-5034-21	18552	1968	5454	11130	0.11	0.29	0.60
coarCHIm-5035-21	22256	2990	7428	11838	0.13	0.33	0.53
coarCHIm-5036-21	18262	2060	5432	10770	0.11	0.30	0.59
coarCHIm-5037-21	20063	2358	6344	11361	0.12	0.32	0.57
coarCHIm-5038-21	23033	2371	6409	14253	0.10	0.28	0.62
coarCHIm-5039-21	26237	2949	8023	15265	0.11	0.31	0.58
coarCHIm-5040-21	34298	3841	12213	18244	0.11	0.36	0.53
coarCHIm-5041-21	21961	2392	6639	12930	0.11	0.30	0.59
coarCHIm-5042-21	22012	2685	7192	12135	0.12	0.33	0.55
coarCHIm-5043-21	30849	3267	8916	18666	0.11	0.29	0.61
coarCHIm-5044-21	34916	3142	9643	22131	0.09	0.28	0.63
coarCHIm-5045-21	23345	2639	6973	13733	0.11	0.30	0.59
coarCHIm-5046-21	20496	2335	6184	11977	0.11	0.30	0.58
coarCHIm-5047-21	19762	2578	6634	10550	0.13	0.34	0.53
coarCHIm-5048-21	20565	2364	6374	11827	0.11	0.31	0.58
coarCHIm-5049-21	24424	2840	8017	13567	0.12	0.33	0.56
coarCHIm-5050-21	23777	2424	6209	15144	0.10	0.26	0.64
coarCHIm-5076-21	23984	2675	7613	13696	0.11	0.32	0.57
coarCHIm-5077-21	32698	3048	9781	19869	0.09	0.30	0.61
coarCHIm-5078-21	23866	2882	7576	13408	0.12	0.32	0.56
coarCHIm-5079-21	28256	3235	9027	15994	0.11	0.32	0.57
coarCHIm-5080-21	23460	2761	7437	13262	0.12	0.32	0.57
coarCHIm-5081-21	26723	2708	8027	15988	0.10	0.30	0.60
coarCHIm-5082-21	20255	2459	6430	11366	0.12	0.32	0.56
coarCHIm-5083-21	20508	2341	6193	11974	0.11	0.30	0.58
coarCHIm-5084-21	25770	3124	8421	14225	0.12	0.33	0.55
coarCHIm-5085-21	27099	3043	8337	15719	0.11	0.31	0.58
coarCHIm-5086-21	19299	2128	5739	11432	0.11	0.30	0.59
coarCHIm-5087-21	24883	2618	6879	15386	0.11	0.28	0.62
coarCHIm-5088-21	35718	3489	10408	21821	0.10	0.29	0.61
coarCHIm-5089-21	36734	3641	11838	21255	0.10	0.32	0.58
coarCHIm-5090-21	26669	2693	7832	16144	0.10	0.29	0.61
coarCHIm-5091-21	24179	2945	7866	13368	0.12	0.33	0.55
coarCHIm-5092-21	26556	3443	9183	13930	0.13	0.35	0.52
coarCHIm-5093-21	26978	2444	7420	17114	0.09	0.28	0.63
coarCHIm-5094-21	23720	2640	7641	13439	0.11	0.32	0.57
coarCHIm-5095-21	16500	1998	5364	9138	0.12	0.33	0.55
coarCHIm-5096-21	23215	2763	7295	13157	0.12	0.31	0.57
coarCHIm-5097-21	19317	2516	6115	10686	0.13	0.32	0.55
coarCHIm-5098-21	16973	2154	5041	9778	0.13	0.30	0.58
coarCHIm-5099-21	18361	2332	5557	10472	0.13	0.30	0.57
coarCHIm-9491-23	9953	1392	3602	4959	0.14	0.36	0.50
coarCHIm-9492-23	14547	1777	4867	7903	0.12	0.33	0.54
coarCHIm-9493-23	12798	1697	4470	6631	0.13	0.35	0.52
coarCHIm-9494-23	163	58	98	7	0.36	0.60	0.04
coarCHIm-9495-23	13434	1732	4590	7112	0.13	0.34	0.53
coarCHIm-9496-23	10583	1172	3161	6250	0.11	0.30	0.59
coarCHIm-9497-23	13134	1685	4219	7230	0.13	0.32	0.55
coarCHIm-9498-23	12869	1695	4198	6976	0.13	0.33	0.54
coarCHIm-9499-23	19049	2519	7054	9476	0.13	0.37	0.50
coarCHIm-9500-23	26258	3387	11583	11288	0.13	0.44	0.43
coarCHIm-9501-23	16649	1835	5079	9735	0.11	0.31	0.58
coarCHIm-9502-23	14559	1973	5242	7344	0.14	0.36	0.50
coarCHIm-9503-23	14277	1548	4121	8608	0.11	0.29	0.60
coarCHIm-9504-23	13093	1564	4169	7360	0.12	0.32	0.56
coarCHIm-9505-23	10499	1421	3681	5397	0.14	0.35	0.51
coarCHIm-9506-23	15140	1993	5384	7763	0.13	0.36	0.51
coarCHIm-9507-23	11248	1472	3569	6207	0.13	0.32	0.55
coarCHIm-9508-23	11323	1616	4007	5700	0.14	0.35	0.50
coarCHIm-9509-23	12263	1550	3942	6771	0.13	0.32	0.55
coarCHIm-9510-23	11515	1679	4125	5711	0.15	0.36	0.50
coarCHIm-9511-23	11	5	6	0	0.45	0.55	0.00
coarCHIm-9512-23	33500	3729	13230	16541	0.11	0.39	0.49
coarCHIm-9513-23	18981	2235	6467	10279	0.12	0.34	0.54
coarCHIm-9514-23	18329	2099	6010	10220	0.11	0.33	0.56
coarCHIm-9515-23	15448	1910	5335	8203	0.12	0.35	0.53
coarCHIm-M10-23	13234	1724	4811	6699	0.13	0.36	0.51
coarCHIm-M11-23	66	24	41	1	0.36	0.62	0.02
coarCHIm-M12-23	15468	1966	5214	8288	0.13	0.34	0.54
coarCHIm-M13-23	20837	2412	7128	11297	0.12	0.34	0.54
coarCHIm-M14-23	33088	3537	11607	17944	0.11	0.35	0.54
coarCHIm-M15-23	35846	4643	15249	15954	0.13	0.43	0.45
coarCHIm-M16-23	30495	3699	12248	14548	0.12	0.40	0.48
coarCHIm-M17-23	24269	3377	10502	10390	0.14	0.43	0.43
coarCHIm-M18-23	30786	4084	12407	14295	0.13	0.40	0.46
coarCHIm-M19-23	27136	3470	10670	12996	0.13	0.39	0.48
coarCHIm-M20-23	25684	3239	10187	12258	0.13	0.40	0.48
coarCHIm-M21-23	32867	4192	13084	15591	0.13	0.40	0.47
coarCHIm-M22-23	112	48	61	3	0.43	0.54	0.03
coarCHIm-M23-23	30023	3878	11939	14206	0.13	0.40	0.47
coarCHIm-M24-23	41399	5184	16463	19752	0.13	0.40	0.48
coarCHIm-M25-23	73084	10338	35992	26754	0.14	0.49	0.37
coarCHIm-M26-23	20520	2667	8084	9769	0.13	0.39	0.48
coarCHIm-M27-23	14574	1948	5214	7412	0.13	0.36	0.51
coarCHIm-M28-23	14720	2065	5457	7198	0.14	0.37	0.49
coarCHIm-M29-23	17807	2028	5994	9785	0.11	0.34	0.55
coarCHIm-M30-23	14428	1894	5228	7306	0.13	0.36	0.51
coarCHIm-M31-23	10501	1455	3689	5357	0.14	0.35	0.51
coarCHIm-M32-23	12128	1767	4188	6173	0.15	0.35	0.51
coarCHIm-M33-23	9052	1362	3415	4275	0.15	0.38	0.47
coarCHIm-M34-23	14708	1863	5122	7723	0.13	0.35	0.53
coarCHIm-M35-23	12758	1941	4872	5945	0.15	0.38	0.47
coarCHIm-M36-23	13719	1860	4784	7075	0.14	0.35	0.52
coarCHIm-M37-23	26871	3146	9691	14034	0.12	0.36	0.52
coarCHIm-M38-23	18096	2529	7074	8493	0.14	0.39	0.47
coarCHIm-M39-23	13941	1908	5330	6703	0.14	0.38	0.48
coarCHIm-M40-23	15166	2022	5244	7900	0.13	0.35	0.52
