Sample	Total Reads	Off-target Reads	Primer Only Reads	Primer Probe Reads	Off-target Proportion	Primer Only Proportion	Primer Probe Proportion
02_input_files/coarCHIm-2562-21_S203_L001_R1_001	94667	6047	24984	63636	0.06	0.26	0.67
02_input_files/coarCHIm-2563-21_S204_L001_R1_001	167892	14810	60005	93077	0.09	0.36	0.55
02_input_files/coarCHIm-2801-21_S205_L001_R1_001	56182	4529	18199	33454	0.08	0.32	0.60
02_input_files/coarCHIm-2802-21_S206_L001_R1_001	21144	2191	6239	12714	0.10	0.30	0.60
02_input_files/coarCHIm-2803-21_S207_L001_R1_001	24107	2123	6126	15858	0.09	0.25	0.66
02_input_files/coarCHIm-2804-21_S208_L001_R1_001	23555	2212	6138	15205	0.09	0.26	0.65
02_input_files/coarCHIm-2805-21_S209_L001_R1_001	21079	2220	5796	13063	0.11	0.27	0.62
02_input_files/coarCHIm-2806-21_S210_L001_R1_001	20307	2031	5605	12671	0.10	0.28	0.62
02_input_files/coarCHIm-2807-21_S211_L001_R1_001	17519	1722	4481	11316	0.10	0.26	0.65
02_input_files/coarCHIm-2808-21_S212_L001_R1_001	20555	1948	5654	12953	0.09	0.28	0.63
02_input_files/coarCHIm-2809-21_S213_L001_R1_001	15713	1560	3847	10306	0.10	0.24	0.66
02_input_files/coarCHIm-2810-21_S214_L001_R1_001	24595	2387	6896	15312	0.10	0.28	0.62
02_input_files/coarCHIm-2811-21_S215_L001_R1_001	22721	2016	5995	14710	0.09	0.26	0.65
02_input_files/coarCHIm-2812-21_S216_L001_R1_001	41959	3629	12283	26047	0.09	0.29	0.62
02_input_files/coarCHIm-2813-21_S217_L001_R1_001	34538	3025	10529	20984	0.09	0.30	0.61
02_input_files/coarCHIm-2814-21_S218_L001_R1_001	13475	1469	3574	8432	0.11	0.27	0.63
02_input_files/coarCHIm-2815-21_S219_L001_R1_001	19191	2188	5679	11324	0.11	0.30	0.59
02_input_files/coarCHIm-2816-21_S220_L001_R1_001	23156	2805	6737	13614	0.12	0.29	0.59
02_input_files/coarCHIm-2817-21_S221_L001_R1_001	20009	2165	5642	12202	0.11	0.28	0.61
02_input_files/coarCHIm-2818-21_S222_L001_R1_001	16092	1940	4862	9290	0.12	0.30	0.58
02_input_files/coarCHIm-2819-21_S223_L001_R1_001	18534	2160	5556	10818	0.12	0.30	0.58
02_input_files/coarCHIm-2820-21_S224_L001_R1_001	18368	1937	4987	11444	0.11	0.27	0.62
02_input_files/coarCHIm-2821-21_S225_L001_R1_001	13742	1487	3849	8406	0.11	0.28	0.61
02_input_files/coarCHIm-2822-21_S226_L001_R1_001	18513	1987	5189	11337	0.11	0.28	0.61
