Sample	Total Reads	Off-target Reads	Primer Only Reads	Primer Probe Reads	Off-target Proportion	Primer Only Proportion	Primer Probe Proportion
02_input_files/coarEASs-584-26_S294_L001_R1_001	86066	7053	19267	59746	0.08	0.22	0.69
02_input_files/coarEASs-585-27_S295_L001_R1_001	32482	3422	7670	21390	0.11	0.24	0.66
02_input_files/coarEASs-586-28_S296_L001_R1_001	42268	4787	11024	26457	0.11	0.26	0.63
02_input_files/coarEASs-587-29_S297_L001_R1_001	42942	4721	10610	27611	0.11	0.25	0.64
02_input_files/coarEASs-588-30_S298_L001_R1_001	52475	5584	13325	33566	0.11	0.25	0.64
02_input_files/coarEASs-589-31_S299_L001_R1_001	59701	6824	17696	35181	0.11	0.30	0.59
02_input_files/coarEASs-597-21_S300_L001_R1_001	119437	14003	44787	60647	0.12	0.37	0.51
02_input_files/coarEASs-598-21_S301_L001_R1_001	38595	3805	8229	26561	0.10	0.21	0.69
02_input_files/coarEASs-620-21_S302_L001_R1_001	29618	3463	6893	19262	0.12	0.23	0.65
02_input_files/coarEASs-621-21_S303_L001_R1_001	23679	3173	6018	14488	0.13	0.25	0.61
02_input_files/coarEASs-622-21_S304_L001_R1_001	28627	3307	6217	19103	0.12	0.22	0.67
02_input_files/coarEASs-623-21_S305_L001_R1_001	21933	3058	5971	12904	0.14	0.27	0.59
02_input_files/coarEASs-626-21_S313_L001_R1_001	34790	3781	8246	22763	0.11	0.24	0.65
02_input_files/coarEASs-627-21_S314_L001_R1_001	20443	2956	6022	11465	0.14	0.29	0.56
02_input_files/coarEASs-638-22_S353_L001_R1_001	9719	1107	2657	5955	0.11	0.27	0.61
02_input_files/coarEASs-643-22_S354_L001_R1_001	10082	1293	3084	5705	0.13	0.31	0.57
02_input_files/coarEASs-645-22_S355_L001_R1_001	17251	1876	5215	10160	0.11	0.30	0.59
02_input_files/coarEASs-646-22_S356_L001_R1_001	19237	1857	5139	12241	0.10	0.27	0.64
02_input_files/coarEASs-647-22_S357_L001_R1_001	11823	1395	3331	7097	0.12	0.28	0.60
02_input_files/coarEASs-649-22_S358_L001_R1_001	11191	1287	3166	6738	0.12	0.28	0.60
02_input_files/coarEASs-650-22_S359_L001_R1_001	12062	1321	3151	7590	0.11	0.26	0.63
02_input_files/coarEASs-662-21_S306_L001_R1_001	15639	2199	3862	9578	0.14	0.25	0.61
02_input_files/coarEASs-665-21_S307_L001_R1_001	17473	3107	5972	8394	0.18	0.34	0.48
02_input_files/coarEASs-666-21_S308_L001_R1_001	19404	2992	5472	10940	0.15	0.28	0.56
02_input_files/coarEASs-667-21_S309_L001_R1_001	18571	3123	5922	9526	0.17	0.32	0.51
02_input_files/coarEASs-668-21_S310_L001_R1_001	11765	2562	4612	4591	0.22	0.39	0.39
02_input_files/coarEASs-669-21_S311_L001_R1_001	25489	3308	5808	16373	0.13	0.23	0.64
02_input_files/coarEASs-675-21_S312_L001_R1_001	48858	5398	11800	31660	0.11	0.24	0.65
02_input_files/coarEASs-685-22_S360_L001_R1_001	12595	1303	3863	7429	0.10	0.31	0.59
02_input_files/coarEASs-686-22_S361_L001_R1_001	11266	1199	3048	7019	0.11	0.27	0.62
02_input_files/coarEASs-687-22_S362_L001_R1_001	13572	1376	3554	8642	0.10	0.26	0.64
02_input_files/coarEASs-689-22_S363_L001_R1_001	13091	1205	3038	8848	0.09	0.23	0.68
02_input_files/coarEASs-704-22_S364_L001_R1_001	12899	1459	3704	7736	0.11	0.29	0.60
02_input_files/coarEASs-705-22_S365_L001_R1_001	9807	1265	3069	5473	0.13	0.31	0.56
02_input_files/coarEASs-706-22_S366_L001_R1_001	11439	1369	3620	6450	0.12	0.32	0.56
02_input_files/coarEASs-708-22_S367_L001_R1_001	17896	1860	5093	10943	0.10	0.28	0.61
02_input_files/coarEASs-710-22_S368_L001_R1_001	24416	2322	8353	13741	0.10	0.34	0.56
02_input_files/coarEASs-711-22_S369_L001_R1_001	12322	1312	3326	7684	0.11	0.27	0.62
02_input_files/coarEASs-712-22_S370_L001_R1_001	13126	1415	3512	8199	0.11	0.27	0.62
02_input_files/coarEASs-713-22_S371_L001_R1_001	12837	1415	3272	8150	0.11	0.25	0.63
02_input_files/coarEASs-714-22_S372_L001_R1_001	11551	1170	2930	7451	0.10	0.25	0.65
02_input_files/coarEASs-715-22_S373_L001_R1_001	3186	348	774	2064	0.11	0.24	0.65
02_input_files/coarEASs-716-22_S374_L001_R1_001	10511	686	1150	8675	0.07	0.11	0.83
02_input_files/coarEASs-717-22_S375_L001_R1_001	2413	288	520	1605	0.12	0.22	0.67
02_input_files/coarEASs-718-22_S376_L001_R1_001	3036	426	757	1853	0.14	0.25	0.61
02_input_files/coarEASs-720-22_S377_L001_R1_001	2556	341	682	1533	0.13	0.27	0.60
02_input_files/coarEASs-722-22_S378_L001_R1_001	3018	469	869	1680	0.16	0.29	0.56
02_input_files/coarEASs-723-22_S379_L001_R1_001	6340	533	1263	4544	0.08	0.20	0.72
02_input_files/coarEASs-724-22_S289_L001_R1_001	34065	3605	12280	18180	0.11	0.36	0.53
02_input_files/coarEASs-728-22_S290_L001_R1_001	20631	2267	6611	11753	0.11	0.32	0.57
02_input_files/coarEASs-729-22_S291_L001_R1_001	21340	2197	6846	12297	0.10	0.32	0.58
02_input_files/coarEASs-731-22_S292_L001_R1_001	21951	2389	7340	12222	0.11	0.33	0.56
02_input_files/coarEASs-732-22_S293_L001_R1_001	27278	2903	8828	15547	0.11	0.32	0.57
02_input_files/coarEASs-733-22_S294_L001_R1_001	27632	2692	8141	16799	0.10	0.29	0.61
02_input_files/coarEASs-734-22_S295_L001_R1_001	22560	2393	7553	12614	0.11	0.33	0.56
02_input_files/coarEASs-751-21_S315_L001_R1_001	21979	2804	5294	13881	0.13	0.24	0.63
02_input_files/coarEASs-752-21_S316_L001_R1_001	29505	3529	7232	18744	0.12	0.25	0.64
02_input_files/coarEASs-753-21_S317_L001_R1_001	26777	3508	6857	16412	0.13	0.26	0.61
02_input_files/coarEASs-754-21_S318_L001_R1_001	21407	2661	5306	13440	0.12	0.25	0.63
02_input_files/coarEASs-755-21_S319_L001_R1_001	22207	2757	5196	14254	0.12	0.23	0.64
02_input_files/coarEASs-756-21_S320_L001_R1_001	20006	2927	6289	10790	0.15	0.31	0.54
02_input_files/coarEASs-757-21_S321_L001_R1_001	27903	3269	5932	18702	0.12	0.21	0.67
02_input_files/coarEASs-758-21_S322_L001_R1_001	19278	2389	4382	12507	0.12	0.23	0.65
02_input_files/coarEASs-759-21_S323_L001_R1_001	24679	2909	5564	16206	0.12	0.23	0.66
02_input_files/coarEASs-760-21_S324_L001_R1_001	28085	3479	7194	17412	0.12	0.26	0.62
02_input_files/coarEASs-761-21_S325_L001_R1_001	32135	3517	8636	19982	0.11	0.27	0.62
02_input_files/coarEASs-762-21_S326_L001_R1_001	23344	3007	5981	14356	0.13	0.26	0.61
02_input_files/coarEASs-763-21_S327_L001_R1_001	25301	3108	5938	16255	0.12	0.23	0.64
02_input_files/coarEASs-764-21_S328_L001_R1_001	23069	3013	5987	14069	0.13	0.26	0.61
02_input_files/coarEASs-765-21_S329_L001_R1_001	18465	2450	5362	10653	0.13	0.29	0.58
02_input_files/coarEASs-766-21_S330_L001_R1_001	18066	2528	5407	10131	0.14	0.30	0.56
02_input_files/coarEASs-767-21_S331_L001_R1_001	22088	2946	5317	13825	0.13	0.24	0.63
02_input_files/coarEASs-768-21_S332_L001_R1_001	21850	2614	5801	13435	0.12	0.27	0.61
02_input_files/coarEASs-769-21_S333_L001_R1_001	28417	2991	5637	19789	0.11	0.20	0.70
02_input_files/coarEASs-770-21_S334_L001_R1_001	20634	2465	5564	12605	0.12	0.27	0.61
02_input_files/coarEASs-771-21_S335_L001_R1_001	20969	2582	5198	13189	0.12	0.25	0.63
02_input_files/coarFISs-10-22_S305_L001_R1_001	10674	1247	3036	6391	0.12	0.28	0.60
02_input_files/coarFISs-11-22_S306_L001_R1_001	12874	1295	3346	8233	0.10	0.26	0.64
02_input_files/coarFISs-12-22_S307_L001_R1_001	11926	1413	3517	6996	0.12	0.29	0.59
02_input_files/coarFISs-1-22_S296_L001_R1_001	25337	2729	8297	14311	0.11	0.33	0.56
02_input_files/coarFISs-13-22_S308_L001_R1_001	12808	1518	3715	7575	0.12	0.29	0.59
02_input_files/coarFISs-14-22_S309_L001_R1_001	16780	2071	5428	9281	0.12	0.32	0.55
02_input_files/coarFISs-15-22_S310_L001_R1_001	9381	1126	2779	5476	0.12	0.30	0.58
02_input_files/coarFISs-16-22_S311_L001_R1_001	13256	1473	3689	8094	0.11	0.28	0.61
02_input_files/coarFISs-17-22_S312_L001_R1_001	15930	1854	5067	9009	0.12	0.32	0.57
02_input_files/coarFISs-18-22_S313_L001_R1_001	16086	1711	4617	9758	0.11	0.29	0.61
02_input_files/coarFISs-19-22_S314_L001_R1_001	12781	1636	4062	7083	0.13	0.32	0.55
02_input_files/coarFISs-20-22_S315_L001_R1_001	10084	1245	2992	5847	0.12	0.30	0.58
02_input_files/coarFISs-2-22_S297_L001_R1_001	26079	2771	8476	14832	0.11	0.33	0.57
02_input_files/coarFISs-3-22_S298_L001_R1_001	32558	3225	10433	18900	0.10	0.32	0.58
02_input_files/coarFISs-4-22_S299_L001_R1_001	33267	3097	10488	19682	0.09	0.32	0.59
02_input_files/coarFISs-5-22_S300_L001_R1_001	46375	6025	20301	20049	0.13	0.44	0.43
02_input_files/coarFISs-6-22_S301_L001_R1_001	18490	1981	5635	10874	0.11	0.30	0.59
02_input_files/coarFISs-7-22_S302_L001_R1_001	10589	1366	3328	5895	0.13	0.31	0.56
02_input_files/coarFISs-8-22_S303_L001_R1_001	11895	1375	3419	7101	0.12	0.29	0.60
02_input_files/coarFISs-9-22_S304_L001_R1_001	12174	1399	3434	7341	0.11	0.28	0.60
02_input_files/coarLAGs-001-20_S113_L001_R1_001	13600	1445	4269	7886	0.11	0.31	0.58
02_input_files/coarLAGs-002-20_S114_L001_R1_001	13169	1413	3626	8130	0.11	0.28	0.62
02_input_files/coarLAGs-003-20_S115_L001_R1_001	13030	1305	3429	8296	0.10	0.26	0.64
02_input_files/coarLAGs-004-20_S116_L001_R1_001	10907	1228	2916	6763	0.11	0.27	0.62
02_input_files/coarLAGs-005-20_S117_L001_R1_001	13923	1623	4176	8124	0.12	0.30	0.58
02_input_files/coarLAGs-006-20_S118_L001_R1_001	12787	1319	3211	8257	0.10	0.25	0.65
02_input_files/coarLAGs-007-20_S119_L001_R1_001	14642	1609	4165	8868	0.11	0.28	0.61
02_input_files/coarLAGs-008-20_S120_L001_R1_001	24102	2894	8626	12582	0.12	0.36	0.52
02_input_files/coarLAGs-009-20_S121_L001_R1_001	19090	1964	5853	11273	0.10	0.31	0.59
02_input_files/coarLAGs-010-20_S122_L001_R1_001	12055	1169	3009	7877	0.10	0.25	0.65
02_input_files/coarLAGs-011-20_S123_L001_R1_001	13831	1444	4402	7985	0.10	0.32	0.58
02_input_files/coarLAGs-012-20_S124_L001_R1_001	13730	1537	3977	8216	0.11	0.29	0.60
02_input_files/coarLAGs-013-20_S125_L001_R1_001	11881	1318	3228	7335	0.11	0.27	0.62
02_input_files/coarLAGs-014-20_S126_L001_R1_001	14803	1255	3398	10150	0.08	0.23	0.69
02_input_files/coarLAGs-015-20_S127_L001_R1_001	8930	1169	2690	5071	0.13	0.30	0.57
02_input_files/coarLAGs-016-20_S128_L001_R1_001	12958	1349	3178	8431	0.10	0.25	0.65
02_input_files/coarLAGs-017-20_S129_L001_R1_001	13823	1560	4183	8080	0.11	0.30	0.58
02_input_files/coarLAGs-018-20_S130_L001_R1_001	11344	1193	2900	7251	0.11	0.26	0.64
02_input_files/coarLAGs-019-20_S131_L001_R1_001	12117	1375	3357	7385	0.11	0.28	0.61
02_input_files/coarLAGs-020-20_S132_L001_R1_001	20525	2260	7155	11110	0.11	0.35	0.54
02_input_files/coarLAGs-031-20_S133_L001_R1_001	18051	1891	5776	10384	0.10	0.32	0.58
02_input_files/coarLAGs-032-20_S134_L001_R1_001	10913	1307	3321	6285	0.12	0.30	0.58
02_input_files/coarLAGs-033-20_S135_L001_R1_001	13068	1534	4187	7347	0.12	0.32	0.56
02_input_files/coarLAGs-034-20_S136_L001_R1_001	23188	1865	5082	16241	0.08	0.22	0.70
02_input_files/coarLAGs-035-20_S137_L001_R1_001	12395	1371	3592	7432	0.11	0.29	0.60
02_input_files/coarLAGs-036-20_S138_L001_R1_001	16564	1450	3762	11352	0.09	0.23	0.69
02_input_files/coarLAGs-037-20_S139_L001_R1_001	14048	1487	3941	8620	0.11	0.28	0.61
02_input_files/coarLAGs-038-20_S140_L001_R1_001	11987	1276	3135	7576	0.11	0.26	0.63
02_input_files/coarLAGs-039-20_S141_L001_R1_001	21399	1699	4735	14965	0.08	0.22	0.70
02_input_files/coarLAGs-040-20_S142_L001_R1_001	13128	1463	3709	7956	0.11	0.28	0.61
02_input_files/coarNOTs-025-20_S97_L001_R1_001	60423	8755	28290	23378	0.14	0.47	0.39
02_input_files/coarNOTs-026-20_S98_L001_R1_001	1613	278	789	546	0.17	0.49	0.34
02_input_files/coarNOTs-027-20_S99_L001_R1_001	41419	3803	13432	24184	0.09	0.32	0.58
02_input_files/coarNOTs-028-20_S100_L001_R1_001	30973	3069	10596	17308	0.10	0.34	0.56
02_input_files/coarNOTs-029-20_S101_L001_R1_001	34291	3095	10443	20753	0.09	0.30	0.61
02_input_files/coarNOTs-030-20_S102_L001_R1_001	50187	4295	15341	30551	0.09	0.31	0.61
02_input_files/coarNOTs-031-20_S103_L001_R1_001	34699	3540	11829	19330	0.10	0.34	0.56
02_input_files/coarNOTs-032-20_S104_L001_R1_001	48966	4762	16917	27287	0.10	0.35	0.56
02_input_files/coarNOTs-033-20_S105_L001_R1_001	37242	3735	12945	20562	0.10	0.35	0.55
02_input_files/coarNOTs-034-20_S106_L001_R1_001	34221	3664	12097	18460	0.11	0.35	0.54
02_input_files/coarNOTs-035-20_S107_L001_R1_001	45590	4539	15825	25226	0.10	0.35	0.55
02_input_files/coarNOTs-036-20_S108_L001_R1_001	61131	8018	28919	24194	0.13	0.47	0.40
02_input_files/coarNOTs-037-20_S109_L001_R1_001	27833	2849	9614	15370	0.10	0.35	0.55
02_input_files/coarNOTs-038-20_S110_L001_R1_001	12823	1398	3512	7913	0.11	0.27	0.62
02_input_files/coarNOTs-039-20_S111_L001_R1_001	13585	1426	4040	8119	0.10	0.30	0.60
02_input_files/coarNOTs-040-20_S112_L001_R1_001	14576	1301	3556	9719	0.09	0.24	0.67
02_input_files/coarNOTs-10-20_S528_L001_R1_001	5293	392	854	4047	0.07	0.16	0.76
02_input_files/coarNOTs-11-20_S529_L001_R1_001	6146	578	1341	4227	0.09	0.22	0.69
02_input_files/coarNOTs-1-20_S519_L001_R1_001	13899	955	2667	10277	0.07	0.19	0.74
02_input_files/coarNOTs-12-20_S530_L001_R1_001	8288	672	1694	5922	0.08	0.20	0.71
02_input_files/coarNOTs-13-20_S531_L001_R1_001	15445	1385	4631	9429	0.09	0.30	0.61
02_input_files/coarNOTs-14-20_S532_L001_R1_001	4457	403	1001	3053	0.09	0.22	0.68
02_input_files/coarNOTs-15-20_S533_L001_R1_001	4975	466	1053	3456	0.09	0.21	0.69
02_input_files/coarNOTs-16-20_S534_L001_R1_001	2982	296	545	2141	0.10	0.18	0.72
02_input_files/coarNOTs-17-20_S535_L001_R1_001	5010	557	1421	3032	0.11	0.28	0.61
02_input_files/coarNOTs-18-20_S536_L001_R1_001	5621	456	1122	4043	0.08	0.20	0.72
02_input_files/coarNOTs-19-20_S537_L001_R1_001	6340	567	1315	4458	0.09	0.21	0.70
02_input_files/coarNOTs-20-20_S538_L001_R1_001	5359	461	1071	3827	0.09	0.20	0.71
02_input_files/coarNOTs-21-20_S539_L001_R1_001	4755	476	1039	3240	0.10	0.22	0.68
02_input_files/coarNOTs-2-20_S520_L001_R1_001	6046	597	1319	4130	0.10	0.22	0.68
02_input_files/coarNOTs-22-20_S540_L001_R1_001	6122	435	847	4840	0.07	0.14	0.79
02_input_files/coarNOTs-23-20_S541_L001_R1_001	5779	524	1099	4156	0.09	0.19	0.72
02_input_files/coarNOTs-24-20_S542_L001_R1_001	3152	185	213	2754	0.06	0.07	0.87
02_input_files/coarNOTs-3-20_S521_L001_R1_001	4659	446	1063	3150	0.10	0.23	0.68
02_input_files/coarNOTs-4-20_S522_L001_R1_001	4512	550	1181	2781	0.12	0.26	0.62
02_input_files/coarNOTs-5-20_S523_L001_R1_001	5368	500	1187	3681	0.09	0.22	0.69
02_input_files/coarNOTs-6-20_S524_L001_R1_001	5228	465	999	3764	0.09	0.19	0.72
02_input_files/coarNOTs-7-20_S525_L001_R1_001	6410	490	1175	4745	0.08	0.18	0.74
02_input_files/coarNOTs-7501-21_S336_L001_R1_001	24421	3059	5808	15554	0.13	0.24	0.64
02_input_files/coarNOTs-7502-21_S337_L001_R1_001	27399	3454	7322	16623	0.13	0.27	0.61
02_input_files/coarNOTs-7503-21_S338_L001_R1_001	13370	2293	4092	6985	0.17	0.31	0.52
02_input_files/coarNOTs-7504-21_S339_L001_R1_001	6433	947	1239	4247	0.15	0.19	0.66
02_input_files/coarNOTs-7505-21_S340_L001_R1_001	13117	1621	2533	8963	0.12	0.19	0.68
02_input_files/coarNOTs-7506-21_S341_L001_R1_001	24409	3463	6478	14468	0.14	0.27	0.59
02_input_files/coarNOTs-7507-21_S342_L001_R1_001	13603	1733	3197	8673	0.13	0.24	0.64
02_input_files/coarNOTs-7508-21_S343_L001_R1_001	17004	2202	4074	10728	0.13	0.24	0.63
02_input_files/coarNOTs-7509-21_S344_L001_R1_001	22078	2580	5232	14266	0.12	0.24	0.65
02_input_files/coarNOTs-7510-21_S345_L001_R1_001	34345	3197	5953	25195	0.09	0.17	0.73
02_input_files/coarNOTs-7511-21_S346_L001_R1_001	21214	2481	4674	14059	0.12	0.22	0.66
02_input_files/coarNOTs-7512-21_S347_L001_R1_001	16019	2377	4382	9260	0.15	0.27	0.58
02_input_files/coarNOTs-7513-21_S348_L001_R1_001	26754	3306	6286	17162	0.12	0.23	0.64
02_input_files/coarNOTs-7514-21_S349_L001_R1_001	15207	1285	1510	12412	0.08	0.10	0.82
02_input_files/coarNOTs-7515-21_S350_L001_R1_001	18697	2940	5660	10097	0.16	0.30	0.54
02_input_files/coarNOTs-7516-21_S351_L001_R1_001	25092	2889	5487	16716	0.12	0.22	0.67
02_input_files/coarNOTs-7517-21_S352_L001_R1_001	17479	2539	4779	10161	0.15	0.27	0.58
02_input_files/coarNOTs-7518-21_S353_L001_R1_001	14475	2103	3560	8812	0.15	0.25	0.61
02_input_files/coarNOTs-7519-21_S354_L001_R1_001	15959	1936	3602	10421	0.12	0.23	0.65
02_input_files/coarNOTs-7520-21_S355_L001_R1_001	4210	745	1052	2413	0.18	0.25	0.57
02_input_files/coarNOTs-7521-21_S356_L001_R1_001	31797	3284	6082	22431	0.10	0.19	0.71
02_input_files/coarNOTs-7522-21_S357_L001_R1_001	27567	3539	6670	17358	0.13	0.24	0.63
02_input_files/coarNOTs-7523-21_S358_L001_R1_001	21264	2893	5508	12863	0.14	0.26	0.60
02_input_files/coarNOTs-7524-21_S359_L001_R1_001	22952	3065	5782	14105	0.13	0.25	0.61
02_input_files/coarNOTs-7525-21_S360_L001_R1_001	30032	3344	6684	20004	0.11	0.22	0.67
02_input_files/coarNOTs-7526-21_S361_L001_R1_001	15816	1277	1546	12993	0.08	0.10	0.82
02_input_files/coarNOTs-7527-21_S362_L001_R1_001	27158	3302	6554	17302	0.12	0.24	0.64
02_input_files/coarNOTs-7528-21_S363_L001_R1_001	20229	2642	4923	12664	0.13	0.24	0.63
02_input_files/coarNOTs-7529-21_S364_L001_R1_001	10136	1370	2132	6634	0.14	0.21	0.65
02_input_files/coarNOTs-7530-21_S365_L001_R1_001	20331	2967	5512	11852	0.15	0.27	0.58
02_input_files/coarNOTs-7531-21_S366_L001_R1_001	22239	3066	5718	13455	0.14	0.26	0.61
02_input_files/coarNOTs-7532-21_S367_L001_R1_001	6883	1159	1725	3999	0.17	0.25	0.58
02_input_files/coarNOTs-7533-21_S368_L001_R1_001	5211	971	1773	2467	0.19	0.34	0.47
02_input_files/coarNOTs-7534-21_S369_L001_R1_001	20005	2826	5191	11988	0.14	0.26	0.60
02_input_files/coarNOTs-7535-21_S370_L001_R1_001	4692	810	1173	2709	0.17	0.25	0.58
02_input_files/coarNOTs-7536-21_S371_L001_R1_001	19675	2880	5332	11463	0.15	0.27	0.58
02_input_files/coarNOTs-7537-21_S372_L001_R1_001	32067	3895	7956	20216	0.12	0.25	0.63
02_input_files/coarNOTs-7538-21_S373_L001_R1_001	53671	5897	14585	33189	0.11	0.27	0.62
02_input_files/coarNOTs-7539-21_S374_L001_R1_001	23567	2759	5146	15662	0.12	0.22	0.66
02_input_files/coarNOTs-7540-21_S375_L001_R1_001	32121	3878	7783	20460	0.12	0.24	0.64
02_input_files/coarNOTs-7541-21_S376_L001_R1_001	8914	1557	2698	4659	0.17	0.30	0.52
02_input_files/coarNOTs-7542-21_S377_L001_R1_001	25616	3388	6411	15817	0.13	0.25	0.62
02_input_files/coarNOTs-7543-21_S378_L001_R1_001	29558	3651	6828	19079	0.12	0.23	0.65
02_input_files/coarNOTs-7544-21_S379_L001_R1_001	24944	3135	5808	16001	0.13	0.23	0.64
02_input_files/coarNOTs-7545-21_S380_L001_R1_001	26510	3017	5747	17746	0.11	0.22	0.67
02_input_files/coarNOTs-7546-21_S381_L001_R1_001	5748	1130	1417	3201	0.20	0.25	0.56
02_input_files/coarNOTs-7547-21_S382_L001_R1_001	25166	2893	5375	16898	0.11	0.21	0.67
02_input_files/coarNOTs-7548-21_S383_L001_R1_001	14237	1412	1665	11160	0.10	0.12	0.78
02_input_files/coarNOTs-7549-21_S384_L001_R1_001	37277	4111	9185	23981	0.11	0.25	0.64
02_input_files/coarNOTs-7550-21_S385_L001_R1_001	69039	7285	21344	40410	0.11	0.31	0.59
02_input_files/coarNOTs-7551-21_S386_L001_R1_001	42620	5263	12973	24384	0.12	0.30	0.57
02_input_files/coarNOTs-7552-21_S387_L001_R1_001	23332	2341	4486	16505	0.10	0.19	0.71
02_input_files/coarNOTs-7553-21_S388_L001_R1_001	2115	323	458	1334	0.15	0.22	0.63
02_input_files/coarNOTs-7554-21_S389_L001_R1_001	24309	1466	2248	20595	0.06	0.09	0.85
02_input_files/coarNOTs-7555-21_S390_L001_R1_001	3437	516	658	2263	0.15	0.19	0.66
02_input_files/coarNOTs-7556-21_S391_L001_R1_001	34208	3086	6544	24578	0.09	0.19	0.72
02_input_files/coarNOTs-7557-21_S392_L001_R1_001	38225	4014	9347	24864	0.11	0.24	0.65
02_input_files/coarNOTs-7558-21_S393_L001_R1_001	33506	3225	7445	22836	0.10	0.22	0.68
02_input_files/coarNOTs-7559-21_S394_L001_R1_001	38357	3745	8911	25701	0.10	0.23	0.67
02_input_files/coarNOTs-7560-21_S395_L001_R1_001	9907	951	1341	7615	0.10	0.14	0.77
02_input_files/coarNOTs-7561-21_S396_L001_R1_001	7550	1436	5767	347	0.19	0.76	0.05
02_input_files/coarNOTs-7562-21_S397_L001_R1_001	3222	294	337	2591	0.09	0.10	0.80
02_input_files/coarNOTs-7563-21_S398_L001_R1_001	2203	246	217	1740	0.11	0.10	0.79
02_input_files/coarNOTs-7564-21_S399_L001_R1_001	5661	546	637	4478	0.10	0.11	0.79
02_input_files/coarNOTs-7565-21_S400_L001_R1_001	30418	2007	3452	24959	0.07	0.11	0.82
02_input_files/coarNOTs-7566-21_S401_L001_R1_001	1327	214	235	878	0.16	0.18	0.66
02_input_files/coarNOTs-7567-21_S402_L001_R1_001	16689	1012	1045	14632	0.06	0.06	0.88
02_input_files/coarNOTs-7568-21_S403_L001_R1_001	5995	647	693	4655	0.11	0.12	0.78
02_input_files/coarNOTs-7701-21_S404_L001_R1_001	17744	1450	2459	13835	0.08	0.14	0.78
02_input_files/coarNOTs-7702-21_S405_L001_R1_001	15221	2038	3538	9645	0.13	0.23	0.63
02_input_files/coarNOTs-7703-21_S406_L001_R1_001	15710	1793	3306	10611	0.11	0.21	0.68
02_input_files/coarNOTs-7704-21_S407_L001_R1_001	61410	3752	5681	51977	0.06	0.09	0.85
02_input_files/coarNOTs-7705-21_S408_L001_R1_001	46418	3511	6828	36079	0.08	0.15	0.78
02_input_files/coarNOTs-7706-21_S409_L001_R1_001	50662	4293	9579	36790	0.08	0.19	0.73
02_input_files/coarNOTs-7707-21_S410_L001_R1_001	31670	2618	4654	24398	0.08	0.15	0.77
02_input_files/coarNOTs-7708-21_S411_L001_R1_001	22718	2519	4664	15535	0.11	0.21	0.68
02_input_files/coarNOTs-7709-21_S412_L001_R1_001	20567	2726	5017	12824	0.13	0.24	0.62
02_input_files/coarNOTs-7710-21_S413_L001_R1_001	28515	2400	4302	21813	0.08	0.15	0.76
02_input_files/coarNOTs-7711-21_S414_L001_R1_001	13871	2022	3780	8069	0.15	0.27	0.58
02_input_files/coarNOTs-7712-21_S415_L001_R1_001	23443	2290	4108	17045	0.10	0.18	0.73
02_input_files/coarNOTs-7713-21_S416_L001_R1_001	24823	2588	4662	17573	0.10	0.19	0.71
02_input_files/coarNOTs-7714-21_S417_L001_R1_001	22493	2456	4697	15340	0.11	0.21	0.68
02_input_files/coarNOTs-7715-21_S418_L001_R1_001	11047	1390	2310	7347	0.13	0.21	0.67
02_input_files/coarNOTs-7716-21_S419_L001_R1_001	14865	2198	4143	8524	0.15	0.28	0.57
02_input_files/coarNOTs-7717-21_S420_L001_R1_001	9550	1654	2886	5010	0.17	0.30	0.52
02_input_files/coarNOTs-7718-21_S421_L001_R1_001	34616	3684	8160	22772	0.11	0.24	0.66
02_input_files/coarNOTs-7719-21_S422_L001_R1_001	31522	2767	5431	23324	0.09	0.17	0.74
02_input_files/coarNOTs-7720-21_S423_L001_R1_001	20160	2621	4955	12584	0.13	0.25	0.62
02_input_files/coarNOTs-7721-21_S424_L001_R1_001	36212	2505	4863	28844	0.07	0.13	0.80
02_input_files/coarNOTs-7722-21_S425_L001_R1_001	31030	2304	4135	24591	0.07	0.13	0.79
02_input_files/coarNOTs-7723-21_S426_L001_R1_001	19749	1888	3537	14324	0.10	0.18	0.73
02_input_files/coarNOTs-7724-21_S427_L001_R1_001	18077	1932	3626	12519	0.11	0.20	0.69
02_input_files/coarNOTs-7725-21_S428_L001_R1_001	14683	1980	3681	9022	0.13	0.25	0.61
02_input_files/coarNOTs-7726-21_S429_L001_R1_001	25242	2898	5721	16623	0.11	0.23	0.66
02_input_files/coarNOTs-7727-21_S430_L001_R1_001	9731	1705	2857	5169	0.18	0.29	0.53
02_input_files/coarNOTs-7728-21_S431_L001_R1_001	10730	2079	3553	5098	0.19	0.33	0.48
02_input_files/coarNOTs-7729-21_S432_L001_R1_001	17713	2355	4307	11051	0.13	0.24	0.62
02_input_files/coarNOTs-7730-21_S433_L001_R1_001	51000	4173	9125	37702	0.08	0.18	0.74
02_input_files/coarNOTs-7731-21_S434_L001_R1_001	15877	1989	3561	10327	0.13	0.22	0.65
02_input_files/coarNOTs-7732-21_S435_L001_R1_001	18025	2336	4386	11303	0.13	0.24	0.63
02_input_files/coarNOTs-7733-21_S436_L001_R1_001	20353	2488	4778	13087	0.12	0.23	0.64
02_input_files/coarNOTs-7734-21_S437_L001_R1_001	31587	2826	5392	23369	0.09	0.17	0.74
02_input_files/coarNOTs-7735-21_S438_L001_R1_001	28507	2567	4611	21329	0.09	0.16	0.75
02_input_files/coarNOTs-7736-21_S439_L001_R1_001	8436	1352	2260	4824	0.16	0.27	0.57
